sku,name,groupId,unitCost,sellingPrice,minStock,description,imageUrl,vendorCode,itemVendorCode,buyPrice,buyCurrency
BF521COVH-R,Handle cover set for BF521-Red,sparepart-floor-machine,"56,070","78,498",2,,,BYN,BF521COVH-R,3.15,USD
BF521COVH-B,Handle cover set for BF522-Blue,sparepart-floor-machine,"56,070","78,498",2,,,BYN,BF521COVH-B,3.15,USD
JP-1360SB,Side brush for JP-1360,sparepart-sweeper,"173,600","243,040",2,,,JPET,JP-1360SB,62,RMB
SJ1400SB,"Side Brush For Sweeper 1360,1400",sparepart-sweeper,"153,436","214,810",2,,,STL,SJ1400SB,8.62,USD
SJ2100SB,Side Brush For Sweeper 2100,sparepart-sweeper,"284,800","398,720",2,,,STL,SJ2100SB,16,USD
SJ2100MB,Main Brush For Sweeper 2100,sparepart-sweeper,"845,500","1,183,700",2,,,STL,SJ2100MB,47.5,USD
SJ2100STERS,STEERING SHAFT SET For 2100,sparepart-sweeper,"409,400","573,160",2,,,LESP,SJ2100STERS,23,USD
SJ2100LMP,Working Top Lamp For SJ2100,sparepart-sweeper,1,1,2,,,LESP,SJ2100LMP,0,USD
A-050,AMETEK DRY/WET MOTOR,Sparepart-vacuum-cleaner,495600,693840,2,Dry Motor (AMETEK MOTOR); packing: 6Pcs/CTN; power: 1000W,,CB,A-050,177,RMB
A-043,AMETEK SUCTIOIN MOTOR,Sparepart-vacuum-cleaner,"798,000","1,117,200",2,Polisher Motor (AMETEK MOTOR); packing: 6Pcs/CTN; power: 1000W,,CB,A-043,285,RMB
BXC2A MTR,AMETEK MOTOR BACKVAC,Sparepart-vacuum-cleaner,"476,000","666,400",2,,,CB,BXC2A MTR,170,RMB
CH60FOAM,SOUND INSULATION COTTON FOR MOTOR,Sparepart-vacuum-cleaner,"19,600","27,440",2,,,CB,CH60FOAM,7,RMB
CH602JVALV,FOUR-LEGS COVERS,Sparepart-vacuum-cleaner,"17,892","25,049",2,,,CB,CH602JVALV,6.39,RMB
CH602J-FL32,FLOATING BALL,Sparepart-vacuum-cleaner,"23,660","33,124",2,,,CB,CH602J-FL32,8.45,RMB
CB80VALV,EIGHT-FOOT COVER,Sparepart-vacuum-cleaner,"5,600","7,840",2,,,CB,CB80VALV,2,RMB
A-056A-8,SHORT CONNECTOR,Sparepart-vacuum-cleaner,"11,760","16,464",2,,,CB,A-056A-8,4.2,RMB
A-056A-9,LONG CONNECTOR,Sparepart-vacuum-cleaner,"19,600","27,440",2,,,CB,A-056A-9,7,RMB
A-056B-1,STEEL TUBE PAIR,Sparepart-vacuum-cleaner,"78,400","109,760",2,,,CB,A-056B-1,28,RMB
A-056B-3,40MM Dust vacuuming head,Sparepart-vacuum-cleaner,"67,640","94,696",2,,,CB,A-056B-3,3.8,USD
"A-056B-6,7,8",FLEXIBLE HOSE SET 40mm,Sparepart-vacuum-cleaner,"108,580","152,012",2,,,CB,"A-056B-6,7,8",6.1,USD
K1ECU,Controller Board For K1,sparepart-autosrubber,"848,882","1,188,435",2,,,JPET,K1BOAR,47.69,USD
K1BOAR,Circuit board For K1,sparepart-autosrubber,"246,530","345,142",2,,,JPET,K1BOAR,13.85,USD
C-018,SUCKER FOR CARPET MACHINE,Sparepart-vacuum-cleaner,"205,800","288,120",2,,,CB,C-018,73.5,RMB
CH602J-HEAD,HEAD,Sparepart-vacuum-cleaner,"672,000","940,800",2,,,CB,CH602J-HEAD,240,RMB
CH903BWHELFR,FRONT WHEELS,Sparepart-vacuum-cleaner,"25,200","35,280",2,,,CB,CH903BWHELFR,9,RMB
CH903BWHELRR,BACK WHEEL,Sparepart-vacuum-cleaner,"42,000","58,800",2,,,CB,CH903BWHELRR,15,RMB
CH30FIL,Filter for 30L vacuum cleaner,Sparepart-vacuum-cleaner,"51,620","72,268",2,,,CB,CH30FIL,2.9,USD
CH 602FIL,FILTER FOR 60-90L VACUUM CLEANER,Sparepart-vacuum-cleaner,"98,000","137,200",2,,,CB,CH 602FIL,35,RMB
K1FILT,Water Filter For K1,sparepart-autosrubber,"71,200","99,680",2,,,JPET,K1FILT,4,USD
A-056B-5,LONG FLAT VACUUMING HEAD,Sparepart-vacuum-cleaner,"18,200","25,480",2,,,CB,A-056B-5,6.5,RMB
K1CLNFILT,Clean tank Filter For K1,sparepart-autosrubber,"30,082","42,115",2,,,JPET,K1FILT,1.69,USD
K1SWITCH,on/off Key Switch For K1,sparepart-autosrubber,"57,494","80,492",2,,,JPET,K1SWIT,3.23,USD
K1VALVE,valve switch For K1,sparepart-autosrubber,"57,494","80,492",2,,,JPET,K1SWIT,3.23,USD
A-056A-1,STEEL TUBE PAIR,Sparepart-vacuum-cleaner,"58,740","82,236",2,,,CB,A-056A-1,3.3,USD
A-056A-3,36MM Dust vacuuming head,Sparepart-vacuum-cleaner,"53,400","74,760",2,,,CB,A-056A-3,3,USD
A-005AXL,AXLE,Sparepart-vacuum-cleaner,"25,200","35,280",2,,,CB,A-005AXL,9,RMB
CH30NBCKL,"TANK BUCKLE FOR AS,APS",Sparepart-vacuum-cleaner,"8,400","11,760",2,,,CB,CH30NBCKL,3,RMB
CH60TANK,Stainless steel water tank no.1,Sparepart-vacuum-cleaner,"320,400","448,560",2,,,CB,CH60TANK,18,USD
CH60BCKL,Tank buckle no.2,Sparepart-vacuum-cleaner,"10,680","14,952",2,,,CB,CH60BCKL,0.6,USD
CH60INLET,Squate connector no.5,Sparepart-vacuum-cleaner,"28,480","39,872",2,,,CB,CH60INLET,1.6,USD
CH60FRX2,X-2 Handle no.7,Sparepart-vacuum-cleaner,"8,900","12,460",2,,,CB,CH60FRX2,0.5,USD
CH60SEWHOS,Sewage pipe no.8/9/10/11,Sparepart-vacuum-cleaner,"49,840","69,776",2,,,CB,CH60SEWHOS,2.8,USD
CH60HDLE,Tilt A pipe no.19,Sparepart-vacuum-cleaner,"71,200","99,680",2,,,CB,CH60HDLE,4,USD
HY85B SQZ,RUBBER OF SQUEEGEE,Sparepart-vacuum-cleaner,"574,000","803,600",2,,,CB,HY85B SQZ,205,RMB
HY-450 MOTBR,BRUSH MOTOR,Sparepart-vacuum-cleaner,"630,000","882,000",2,,,CB,HY-450 MOTBR,225,RMB
CB30CTRL,CONTROLLER BOARD,Sparepart-vacuum-cleaner,"148,400","207,760",2,,,CB,CB30CTRL,53,RMB
CB30MOTBR,BRUSH MOTOR,Sparepart-vacuum-cleaner,"322,000","450,800",2,,,CB,CB30MOTBR,115,RMB
CB30MOTSUC,SUCTION MOTOR,Sparepart-vacuum-cleaner,"274,400","384,160",2,,,CB,CB30MOTSUC,98,RMB
HY12RRWHL,REAR WHEEL,Sparepart-vacuum-cleaner,"994,000","1,391,600",2,,,CB,HY12RRWHL,355,RMB
HY31SCKR,ACCESSORIES FOR SOFASUCKER,Sparepart-vacuum-cleaner,"518,000","725,200",2,,,CB,HY31SCKR,185,RMB
A-051,AMETEK DRY/WET MOTOR(1000W)(220V),Sparepart-vacuum-cleaner,"476,000","666,400",2,Dry&Wet Motor(AMETEK MOT); packing: 6Pcs/CTN; power: 1000W/1200W,,CB,A-051,170,RMB
A-049,Italy WET & DRY VACUUM MOTOR,Sparepart-vacuum-cleaner,"238,000","333,200",2,Dry Motor Dry&Wet Motor; packing: 6Pcs/CTN; power: 1000W/1200W,,CB,A-049,85,RMB
AF08071-BY,60LWringer with two buckets-metal frame-Side press,janitorial,"426,832","597,565",2,,,JPET,AF08071,152.44,RMB
